feature,mean_abs_input_gradient
Insulin,0.7920167841948569
SkinThickness,0.672843193942681
BMI,0.4779069579206407
BloodPressure,0.4669076549634337
DiabetesPedigreeFunction,0.4632375063747168
Pregnancies,0.4521667845826596
Age,0.37117288038134577
Glucose,0.3693555465713143
