feature,mean_abs_shap
hemo,2.4584591
sg,1.3619447
sc,1.1773344
al,0.5461528
age,0.4585656
htn,0.4403827
pcv,0.37334254
sod,0.34257153
wc,0.25050503
bgr,0.2476854
bu,0.20525748
rc,0.18656701
dm,0.1346641
bp,0.050703663
pot,0.011355049
su,0.0
pc,0.0
rbc,0.0
ba,0.0
pcc,0.0
cad,0.0
appet,0.0
pe,0.0
ane,0.0
