Model,Accuracy,Accuracy_std,Precision,Precision_std,Recall,Recall_std,F1,F1_std,ROC_AUC,ROC_AUC_std,AUC_PR,MCC,Kappa,Specificity,NPV,Brier,LogLoss,InferenceMs,VQC_Config
XGBoost,0.815802,0.018524,0.336919,0.077874,0.201995,0.047991,0.248495,0.050434,0.667156,0.041515,0.286531,0.15999,0.151769,0.92576,0.866299,0.138318,0.439758,0.0047,
Classical TabTransformer,0.805189,0.02545,0.342226,0.058279,0.268582,0.10148,0.284669,0.060535,0.691906,0.034701,0.310642,0.186963,0.178912,0.901273,0.873709,0.144968,0.454278,0.0,
LightGBM,0.816745,0.01427,0.330876,0.067174,0.184928,0.035027,0.233687,0.034068,0.668097,0.040495,0.283672,0.148522,0.139237,0.929936,0.864341,0.136152,0.435119,0.0083,
MLP,0.678066,0.021878,0.254684,0.02423,0.582091,0.080944,0.353619,0.035688,0.693265,0.041231,0.305022,0.209271,0.181019,0.695213,0.90333,0.196572,0.572223,0.0008,
Hybrid Quantum Transformer,0.783255,0.056824,0.333757,0.083761,0.323029,0.062524,0.315711,0.043459,0.680019,0.036623,0.317182,0.197371,0.192669,0.865665,0.876979,0.166524,0.511718,0.4702,6q-2L
