Model,Accuracy,Accuracy_std,Precision,Precision_std,Recall,Recall_std,F1,F1_std,ROC_AUC,ROC_AUC_std,AUC_PR,MCC,Kappa,Specificity,NPV,Brier,LogLoss,InferenceMs,VQC_Config
XGBoost,0.761517,0.048233,0.643846,0.073186,0.704274,0.107943,0.670518,0.082648,0.826199,0.044345,0.705177,0.487894,0.484539,0.792,0.836021,0.172291,0.540129,0.0232,
Classical TabTransformer,0.758971,0.048487,0.644711,0.072933,0.704701,0.089529,0.670258,0.067387,0.826644,0.047322,0.71494,0.485673,0.481637,0.788,0.834423,0.161296,0.486573,0.0,
LightGBM,0.753776,0.044162,0.634288,0.063986,0.693305,0.093328,0.660796,0.072649,0.817712,0.043039,0.692234,0.471098,0.468416,0.786,0.828907,0.176243,0.559845,0.0341,
MLP,0.766832,0.053255,0.651805,0.089122,0.742593,0.100599,0.68939,0.070559,0.847063,0.036185,0.748817,0.513207,0.505173,0.78,0.85263,0.157219,0.476395,0.0029,
Hybrid Quantum Transformer,0.742003,0.055266,0.618856,0.080634,0.70114,0.095859,0.654229,0.073644,0.813234,0.056814,0.700661,0.455989,0.450658,0.764,0.828472,0.168565,0.503157,0.7622,6q-2L
